plant_id,fips_raw,county_FIPS,coord_lat,coord_long,coords,plant_name,plant_state,census_region,NERC_region,prime_mover,reported_FTC,AER_FTC,AER_FTC_full,MMBTU_con_tot_YTD,MMBTU_con_elec_YTD,MWh_net_gen_elec_YTD
10863,27013,27013,44.187066,-93.99242,"44.187066,-93.99242",Archer Daniels Midland Mankato,MN,WNC,MRO,ST,SUB,COL,Coal ,383463,46326,3850
10864,19113,19113,41.9221,-91.6875,"41.9221,-91.6875",Archer Daniels Midland Cedar Rapids,IA,WNC,MRO,GT,NG,NG,Natural Gas,3200732,1083222,269853
10864,19113,19113,41.9221,-91.6875,"41.9221,-91.6875",Archer Daniels Midland Cedar Rapids,IA,WNC,MRO,ST,BIT,COL,Coal ,7555213,1389997,262115.39
10864,19113,19113,41.9221,-91.6875,"41.9221,-91.6875",Archer Daniels Midland Cedar Rapids,IA,WNC,MRO,ST,NG,NG,Natural Gas,16238,2910,539.926
10864,19113,19113,41.9221,-91.6875,"41.9221,-91.6875",Archer Daniels Midland Cedar Rapids,IA,WNC,MRO,ST,SLW,ORW,Other Renewables ,0,0,0
10864,19113,19113,41.9221,-91.6875,"41.9221,-91.6875",Archer Daniels Midland Cedar Rapids,IA,WNC,MRO,ST,SUB,COL,Coal ,14854741,2740688,518875.69
10865,17115,17115,39.870074,-88.890756,"39.870074,-88.890756",Archer Daniels Midland Decatur,IL,ENC,SERC,ST,BIT,COL,Coal ,25751499,4627440,817834.46
10865,17115,17115,39.870074,-88.890756,"39.870074,-88.890756",Archer Daniels Midland Decatur,IL,ENC,SERC,ST,NG,NG,Natural Gas,22293,3930,690.553
10865,17115,17115,39.870074,-88.890756,"39.870074,-88.890756",Archer Daniels Midland Decatur,IL,ENC,SERC,ST,SUB,COL,Coal ,11669593,2087811,367348.14
10865,17115,17115,39.870074,-88.890756,"39.870074,-88.890756",Archer Daniels Midland Decatur,IL,ENC,SERC,ST,TDF,OTH,Other (including nonbiogenic MSW),78518,13826,2439.847
10865,17115,17115,39.870074,-88.890756,"39.870074,-88.890756",Archer Daniels Midland Decatur,IL,ENC,SERC,ST,WDS,WWW,Wood and Wood Waste,0,0,0
10866,17143,17143,40.677188,-89.604911,"40.677188,-89.604911",Archer Daniels Midland Peoria,IL,ENC,SERC,GT,BIT,COL,Coal ,0,0,0
10866,17143,17143,40.677188,-89.604911,"40.677188,-89.604911",Archer Daniels Midland Peoria,IL,ENC,SERC,GT,NG,NG,Natural Gas,1406069,336198,83754
10869,41029,41029,42.436111,-122.849958,"42.436111,-122.849958",Biomass One LP,OR,PACC,WECC,ST,WDS,WWW,Wood and Wood Waste,2964904,2964904,162686
10870,42079,42079,40.928161,-76.040929,"40.928161,-76.040929",Hazelton,PA,MAT,RFC,GT,DFO,DFO,Distillate Petroleum,9359,9359,757.248
10870,42079,42079,40.928161,-76.040929,"40.928161,-76.040929",Hazelton,PA,MAT,RFC,GT,NG,NG,Natural Gas,172405,172405,13954.752
10872,36045,36045,43.917267,-75.633822,"43.917267,-75.633822",Kings Falls Hydroelectric,NY,MAT,NPCC,HY,WAT,HYC,Hydroelectric Conventional,24027,24027,2698
10873,6027,06027,36.0372,-117.7981,"36.0372,-117.7981",Coso Finance Partners,CA,PACC,WECC,ST,GEO,GEO,Geothermal,4351153,4351153,488619
